((10, 1), (15, 2), (11, 5), (28, 10), (36, 100))
((10, 1), (15, 2), (29, 5), (9, 10), (37, 100))
((10, 1), (20, 2), (3, 5), (31, 10), (36, 100))
((10, 1), (20, 2), (21, 5), (12, 10), (37, 100))
((10, 1), (25, 2), (13, 5), (15, 10), (37, 100))
((10, 1), (30, 2), (5, 5), (18, 10), (37, 100))
((10, 1), (35, 2), (15, 5), (2, 10), (38, 100))
((10, 1), (40, 2), (7, 5), (5, 10), (38, 100))
((11, 1), (2, 2), (12, 5), (40, 10), (35, 100))
((11, 1), (2, 2), (30, 5), (21, 10), (36, 100))
((11, 1), (2, 2), (48, 5), (2, 10), (37, 100))
((11, 1), (7, 2), (4, 5), (43, 10), (35, 100))
((11, 1), (7, 2), (22, 5), (24, 10), (36, 100))
((11, 1), (7, 2), (40, 5), (5, 10), (37, 100))
((11, 1), (12, 2), (14, 5), (27, 10), (36, 100))
((11, 1), (12, 2), (32, 5), (8, 10), (37, 100))
((11, 1), (17, 2), (6, 5), (30, 10), (36, 100))
((11, 1), (17, 2), (24, 5), (11, 10), (37, 100))
((11, 1), (22, 2), (16, 5), (14, 10), (37, 100))
((11, 1), (27, 2), (8, 5), (17, 10), (37, 100))
((11, 1), (32, 2), (18, 5), (1, 10), (38, 100))
((11, 1), (37, 2), (10, 5), (4, 10), (38, 100))
((11, 1), (42, 2), (2, 5), (7, 10), (38, 100))
((12, 1), (4, 2), (7, 5), (42, 10), (35, 100))
((12, 1), (4, 2), (25, 5), (23, 10), (36, 100))
((12, 1), (4, 2), (43, 5), (4, 10), (37, 100))
((12, 1), (9, 2), (17, 5), (26, 10), (36, 100))
((12, 1), (9, 2), (35, 5), (7, 10), (37, 100))
((12, 1), (14, 2), (9, 5), (29, 10), (36, 100))
((12, 1), (14, 2), (27, 5), (10, 10), (37, 100))
((12, 1), (19, 2), (1, 5), (32, 10), (36, 100))
((12, 1), (19, 2), (19, 5), (13, 10), (37, 100))
((12, 1), (24, 2), (11, 5), (16, 10), (37, 100))
((12, 1), (29, 2), (3, 5), (19, 10), (37, 100))
((12, 1), (34, 2), (13, 5), (3, 10), (38, 100))
((12, 1), (39, 2), (5, 5), (6, 10), (38, 100))
((13, 1), (1, 2), (10, 5), (41, 10), (35, 100))
((13, 1), (1, 2), (28, 5), (22, 10), (36, 100))
((13, 1), (1, 2), (46, 5), (3, 10), (37, 100))
((13, 1), (6, 2), (2, 5), (44, 10), (35, 100))
((13, 1), (6, 2), (20, 5), (25, 10), (36, 100))
((13, 1), (6, 2), (38, 5), (6, 10), (37, 100))
((13, 1), (11, 2), (12, 5), (28, 10), (36, 100))
((13, 1), (11, 2), (30, 5), (9, 10), (37, 100))
((13, 1), (16, 2), (4, 5), (31, 10), (36, 100))
((13, 1), (16, 2), (22, 5), (12, 10), (37, 100))
((13, 1), (21, 2), (14, 5), (15, 10), (37, 100))
((13, 1), (26, 2), (6, 5), (18, 10), (37, 100))
((13, 1), (31, 2), (16, 5), (2, 10), (38, 100))
((13, 1), (36, 2), (8, 5), (5, 10), (38, 100))
((14, 1), (3, 2), (5, 5), (43, 10), (35, 100))
((14, 1), (3, 2), (23, 5), (24, 10), (36, 100))
((14, 1), (3, 2), (41, 5), (5, 10), (37, 100))
((14, 1), (8, 2), (15, 5), (27, 10), (36, 100))
((14, 1), (8, 2), (33, 5), (8, 10), (37, 100))
((14, 1), (13, 2), (7, 5), (30, 10), (36, 100))
((14, 1), (13, 2), (25, 5), (11, 10), (37, 100))
((14, 1), (18, 2), (17, 5), (14, 10), (37, 100))
((14, 1), (23, 2), (9, 5), (17, 10), (37, 100))
((14, 1), (28, 2), (1, 5), (20, 10), (37, 100))
((14, 1), (28, 2), (19, 5), (1, 10), (38, 100))
((14, 1), (33, 2), (11, 5), (4, 10), (38, 100))
((14, 1), (38, 2), (3, 5), (7, 10), (38, 100))
((15, 1), (5, 2), (18, 5), (26, 10), (36, 100))
((15, 1), (5, 2), (36, 5), (7, 10), (37, 100))
((15, 1), (10, 2), (10, 5), (29, 10), (36, 100))
((15, 1), (10, 2), (28, 5), (10, 10), (37, 100))
((15, 1), (15, 2), (2, 5), (32, 10), (36, 100))
((15, 1), (15, 2), (20, 5), (13, 10), (37, 100))
((15, 1), (20, 2), (12, 5), (16, 10), (37, 100))
((15, 1), (25, 2), (4, 5), (19, 10), (37, 100))
((15, 1), (30, 2), (14, 5), (3, 10), (38, 100))
((15, 1), (35, 2), (6, 5), (6, 10), (38, 100))
((16, 1), (2, 2), (3, 5), (44, 10), (35, 100))
((16, 1), (2, 2), (21, 5), (25, 10), (36, 100))
((16, 1), (2, 2), (39, 5), (6, 10), (37, 100))
((16, 1), (7, 2), (13, 5), (28, 10), (36, 100))
